Author_ID,Author_Name
57204425882,"Pereira, Samuel Santos"
25822612200,"Oliveira, Arnaldo S.R."
55581629700,"Martínez Rolán, Xabier"
56042198700,"Cabezuelo-Lorenzo, Francisco"
54581462800,"Oliveira, Lídia De Jesus"
57190048958,"Siqueira, Jaqueline"
55416644200,"Torres, Maria Joana"
25626996500,"Varandas, Paulo"
59998827600,"Landeiro, Filipa"
59682172600,"Silva, Mónica"
59682427800,"Moura, Carolina Veiga E."
59681419200,"Martins, Catarina"
59681921900,"Miller, Paula"
59682172700,"Ferraz, Sandrina"
59188528300,"de Azevedo, Andréa Paula"
58561125000,"Gancho, Sara"
58830726300,"Rocha, Luís"
55688429400,"Patricio, Rui"
55778407000,"Nunes, Inês Brandão"
56644836500,"Rapinski, Michel"
27268032100,"Raymond, Richard"
55247758100,"Davy, Damien"
7003569655,"Bedell, Jean Philippe"
56878839200,"Ka, Abdou"
59666589800,"Lubszynski, Jean"
7202454407,"Lopez, Pascal Jean"
59777837700,"da Silva, Eduardo Ferreira"
59666966700,"Deghel, Nathalie El"
21743200900,"MacIa, Enguerran"
26431350100,"Duboz, Priscilla"
57217119071,"Marta, Ana Ambrósio"
58821090900,"Marques-Couto, Pedro"
55820663800,"Vaz-Pereira, Sara"
56784977100,"Costa, José Filipe"
57204151710,"Cabral, Diogo"
35740201800,"Estrela-Silva, Sérgio E."
59359168800,"Franca, Maria"
57219231848,"Marques, João Heitor"
6508118687,"Menéres, Maria João Fernandes Dos Santos"
14021726700,"Lemos, Carolina Luisa"
58685107600,"Melo Beirão, João Nuno"
57113055700,"Soares, Célia Azevedo"
57205124975,"Carvalho, Ana Luísa"
56785152200,"Marques, Joao Pedro"
57200145505,"Ferreira, Beatriz Henriques"
57224188197,"Mazeda, Carolina"
57217254589,"Dourado, Eduardo Jorge"
24401796100,"Simões, João L."
57202947976,"Prata, Ana Rita"
56480545100,"Argüello, Rafael J."
7007025414,"Duarte, Iola F."
8058298400,"Pierre, Philippe"
9637533600,"Almeida, Catarina R."
57418614800,"Alhaddad, Toni"
57209235004,"Shoker, Mohamad Baker"
55960326900,"Pagés, Olivier"
7006360015,"Polian, Alain"
7102166218,"Torres, Vítor J.B."
6602575588,"Le Godec, Yann"
7006250510,"Itiè, Jean Paul"
6701749068,"Bellin, Ch"
24576498900,"Béneut, Keevin"
8311362000,"Diliberto, Sébastien"
56244693800,"Michel, Stéphanie"
6602211313,"Marasek, Agnieszka"
8986306400,"Strzałkowski, Karol"
59154310900,"Pereira da Costa, Roberto"
58942756900,"Costa, Filipa M."
55881559500,"da Fonseca, João Eurico Cabral"
57193210260,"Khmelinskii, Nikita"
60060143100,"Oliveira, Anabela"
57218142909,"Dias, Lília Maria Santos"
55371866600,"Bastos, Ana R.N."
58113789400,"Alves, Tiago"
56260574900,"Elias Towe, Elias T."
60075467200,"Ferreira, Rute A.S."
60097688100,"André, Paulo S.B."
57813934200,"Düfel, Marco"
24177791800,"Kennedy, James Bernard"
16039697600,"Mugnolo, Delio"
57219224628,"Plumer, Marvin"
56845133600,"Taufer, Matthias"
57212278158,"Fernández-Álvarez, José Carlos"
7003482642,"Nieto, Raquel"
6603647965,"Vicente-Serrano, Sergio M."
55024377500,"Carvalho, David"
57211811048,"Gimeno, Luís"
59186754600,"Severino, Pedro"
60125598200,"Graça, Mariana"
25722206400,"Negrões, Nuno"
39661021600,"Barros, Tânia"
58331644900,"Carvalho, João"
8918810800,"Ferreira, Eduardo"
57298269900,"Hartasánchez, Roberto"
59468957100,"Malheiro, Bruno"
6506527252,"Rosalino, Luís Miguel"
36629480900,"Torres, Rita Tinoco"
36543869000,"Glikman, Jenny Anne"
56100253300,"Ayzenberg, Dimitry"
35271380400,"Blackburn, Lindy L."
55325329200,"Brito, Richard"
6602806448,"Britzen, Silke"
7005699469,"Broderick, Avery E."
55439844500,"Carballo-Rubio, Raúl"
7006453750,"Cardoso, Vitor"
55324722200,"Chael, Andrew A."
56714950900,"Chatterjee, Koushik"
57194431541,"Chen, Yifan"
56978988400,"Cunha, Pedro V.P."
57204298379,"Davoudiasl, Hooman"
56050224500,"Denton, Peter B."
6602389278,"Doeleman, Sheperd S."
35221275300,"Eichhorn, Astrid"
57214798467,"Eubanks, Marshall"
57209068921,"Fang, Yun"
57217235887,"Foschi, Arianna"
39561175700,"Fromm, Christian M."
6507182260,"Galison, Peter Louis"
7404806160,"Ghosh, Sushant G."
55504461000,"Gold, Roman"
7006254892,"Gurvits, Leonid I."
55176011300,"Hadar, Shahar"
57191965997,"Held, Aaron"
58835415400,"Houston, Janice"
58775553000,"Hu, Yichao"
57213466094,"Johnson, Michael D."
57194686285,"Kocherlakota, Prashant"
35515154700,"Natarajan, Priyamvada"
57190762698,"Olivares Sánchez, H. R."
57208319833,"Palumbo, Daniel C.M."
56514065800,"Pesce, Dominic W."
22036291200,"Rajendran, Surjeet"
57214938223,"Roy, Rittick"
57211265012,Saurabh
25652194300,"Shao, Lijing"
57222905740,"Tahura, Shammi"
57219761152,"Tamar, Aditya"
56657947900,"Tiede, Paul"
56239733000,"Vincent, Frédéric H."
34168444500,"Visinelli, Luca"
58719192900,"Wang, Zhiren"
52164611300,"Wielgus, MacIek Iej"
57210157927,"Xue, Xiao"
6602745988,"Yakut, Kadri"
54962320100,"Yang, Huan"
55347813900,"Younsi, Ziri"
57223123533,"Pinho, Marisa"
52664090100,"Moreira, Ana S. P."
60117556100,"Cardesín, Erika García"
60117794000,"Pérez-González, Alexandra"
57672278300,"Gómez-Carnota, David"
60019818000,"Neves, Bruna B."
57224860521,"Bonciarelli, Stefano"
6508278512,"Goracci, Laura"
54965748900,"Melo, Tânia S."
54790610500,"Domingues, Pedro Miguel Dimas Neves"
6602780143,"Lillebø, Ana Isabel"
6602521239,"Cremades, Javier"
7003618393,"Domingues, Rosário Rosário Marques"
57838492000,"Figueiredo, Andreia"
57205513857,"Amaral, João"
59259524200,"Mendes, Marcos"
57426579200,"Rosmaninho, Rodrigo"
57224537644,"Dias, Duarte"
56940657200,"Rito, Pedro"
36164286400,"Luís, Miguel"
55036355000,"Raposo, Duarte M.G."
6603312796,"Sargento, Susana"
37032031100,"Santos, Carla I.M."
8730112700,"Rosa, Vitor S."
57786363700,"Neves, Maria Graça P.M.S."
7102545395,"Kirillov, Alexander M."
8526661400,"Kirillova, Marina V."
57226142428,"Cordeiro, Ana"
56120418000,"Fernandes, Andreia"
56367468400,"Ferreira, Andreia Sousa"
57209121911,"Coelho, Elisabete"
57275602300,"Coimbra, Manuel A."
23029054300,"Silvério, Sara C."
9039121900,"Pilão Cadavez, Vasco Augusto"
7102331969,"Peres, António Manuel"
55938875200,"Rodrigues, Ligia Raquel Marona"
58328376900,"Amorim, Cláudia"
57220748660,"Justo, Micaela S.S."
60078186500,"Beenham, Laura"
57195623574,"Cúrdia, João"
57695757000,"Cunha, Marta"
56641616500,"Lyne, Fern M."
60079040500,"Bartossek, Rita"
56678362600,"Leite, Carla"
60078464700,"Palmer, Edwin"
60078186600,"Oldmeadow, Edward"
6701414754,"Peixoto, Raquel Silva"
7005700225,"Freitas, Rosa"
8632427600,"Berumen, Michael L."
8640178700,"Carvalho, Susana Almeida"
57156589700,"Viitak, Marili"
57566711200,"Nolasco, Rita"
55246017600,"Villacieros-Robineau, Nicolás"
35604523100,"Silva, Paulo Alves"
57209314565,"Castro, C. G."
6604002048,"Dubert, Jesús"
59416639300,"Lopes-Santos, Sara"
57545827600,"Xavier, José C."
57211413667,"Abreu, José"
57194531827,"Seco, José"
35075745900,"Coelho, João Pedro"
7202834182,"Pereira, M. E."
7404241775,"Phillips, Richard A."
57191919866,"Queirós, José Pedro"
35604255300,"Santos, Helena Carneiro"
57226192235,"Henriques, Ana Rita"
6602393492,"Canhão, Helena Cristina de Matos"
35243075300,"Machado, Pedro M."
55937238700,"Pimentel-Santos, Fernando Manuel"
23993256100,"Silva, Cândida G."
55560901900,"Lobão, Bárbara"
17341991100,"Bernardes, José Miguel"
60045889000,"Gomes, Carlos"
60045784100,"Fraga, Vanessa"
60046203300,"Abreu, Catarina"
57219770481,"Parente, Hugo"
57214020135,"Soares, Catarina Dantas"
57202005027,"Luís, Mariana Isabel Simão Fernandes"
36638638900,"Vieira-Sousa, Elsa"
22134288700,"Couto, Maura C.M."
23992116300,"Barcelos, Anabela Tavares Valadäo"
8588660200,"Sequeira, Graça"
55298379300,"Nóvoa, Teresa S."
23498890800,"Nero, Patrícia"
23992122100,"Barcelos, Filipe Alexandre Duarte"
57189499663,"Rodrigues, Ana M."
57204352294,"Bracher-Smith, Matthew R."
57473155600,"Melograna, Federico"
57222115949,"Ulm, Brittany S."
14017877000,"Bellenguez, Céline"
22133949700,"Grenier-Boley, Benjamin"
57211814424,"Duroux, Diane"
57200048470,"Nevado, Alejo J."
57172024600,"Holmans, Peter A."
57204782423,"Tijms, Betty M."
60092889900,"Hulsman, Marc"
57199279889,"de Rojas, Itziar"
57226194919,"Campos-Martin, Rafael"
60022714700,"der Lee, Sven Van"
58264616800,"Castillo, Atahualpa"
57221713576,"Küçükali, Fahri"
57204202580,"Peters, Oliver"
7402385294,"Schneider, Anja"
7004050470,"Dichgans, Martin"
57223450665,"Rujescu, Dan"
7004109625,"Scherbaum, Norbert"
55918597000,"Deckert, Jürgen"
35450387800,"Riedel-Heller, Steffi Gerlinde"
55695799800,"Hausner, Lucrezia"
8883416000,"Molina-Porcel, Laura"
6701771740,"Düzel, Emrah"
6507487659,"Grimmer, Timo"
7006535248,"Wiltfang, Jens G."
56872898400,"Heilmann-­Heimbach, Stefanie"
6506246334,"Moebus, Susanne"
7003924367,"Tegos, Thomas J."
6701754861,"Scarmeas, Nikolaos"
54683717000,"Dols-Icardo, Oriol"
15053404300,"Moreno, Fermín"
7003618645,"Pérez-Tur, Jordi"
6603788749,"Bullido, Maria J."
57193218596,"Pástor, Pau"
6602405836,"Sánchez-Valle Díaz, Raquel"
57198083579,"Álvarez, Victoria M.P."
58043185700,"Boada, Mercé"
57211167923,"Garcia-González, Pablo"
57385078300,"Puerta, Raquel"
14060780400,"Mir, Pablo"
56657292800,"Real, Luis M."
57217853843,"Piñol-Ripoll, Gerard"
24734008900,"García-Alberca, José María"
57207801634,"Rodriguez-Rodriguez, Eloy Manuel"
24318493000,"Soininen, Hikka S."
57211100997,"Heikkinen, Sami"
55307490700,"de Mendonça, Alexandre V."
21739815400,"Mehrabian, Shima"
55941457100,"Traykov, Latchezar Dintchov"
15020481600,"Hort, Jakub"
15021554600,"Vyhnálek, Martin"
57204808634,"Sandau, Nicolai"
57205653399,"Thomassen, Jesper Qvist"
6601957110,"Pijnenburg, Yolande AL"
58590207700,"Holstege, Henne H."
57214786150,"van Swieten, John Cornelis"
23475540400,"Ramakers, Inez H.G.B."
7007057244,"Verhey, F. R.J."
7007073571,"Scheltens, P. K."
57200995035,"Graff, Caroline"
36495413600,"Papenberg, Goran"
6507606185,"Giedraitis, Vilmantas"
58173354200,"Williams, Julie"
7101751541,"Amouyel, Philippe"
56265429900,"Boland, Anne"
7003508096,"Deleuze, Jean François"
57202909099,"Nicolas, Gaël"
7003839657,"Dufouil, Carole"
7007024415,"Pasquier, Florence"
7003945611,"Hanon, Olivier"
16416707500,"Debette, Stephanie"
56437784000,"Grünblatt, Edna"
18434829700,"Popp, Julius"
7005186567,"Ghidoni, Roberta"
6701617660,"Galimberti, Daniela"
6701903617,"Arosio, Beatrice"
7006313835,"Mecocci, Patrizia"
7003837379,"Solfrizzi, Vincenzo"
35412328100,"Parnetti, Lucilla"
6504529047,"Squassina, Alessio"
57200719476,"Tremolizzo, Lucio"
6701398657,"Borroni, Barbara"
57211900353,"Wagner, Michael"
7003393435,"Nacmias, B."
54794493200,"Spallazzi, Marco"
6602180406,"Seripa, Davide"
7003753505,"Rainero, Innocenzo"
7004251623,"Daniele, Antonio"
55274309000,"Piras, Fabrizio"
7003422525,"Masullo, Carlo"
7402913219,"Rossi, Giacomina"
7006672877,"Jessen, Frank"
57205497548,"Kehoe, Patrick G."
36495206500,"Magda, Tsolaki"
57207611471,"Sánchez-Juán, Páscual J."
57191194975,"Sleegers, Kristel"
6602227459,"Ingelsson, Martin"
7004918583,"Hiltunen, Mikko J."
7102815909,"Sims, Rebecca C."
8548678900,"Van Der Flier, Wiesje M."
56600076200,"Andreassen, Ole Andreas"
