Article_ID,Author_ID
1,57205681241
1,58725413600
1,57203317900
1,59997644600
1,55003863600
1,6602197103
1,35598479600
1,43860983400
1,7003426496
1,7102450045
2,36643662100
2,57202900179
3,57192108152
3,14021110600
3,35183589300
3,23135719900
3,20734149900
3,8880294600
4,57217084812
4,56070997300
4,57210164924
4,35192001000
5,36246298900
5,59481571900
5,55567156100
5,57326202900
5,59510998300
5,57212216367
5,26434210100
5,59524840600
5,8969729300
5,55491155700
5,56962720500
5,54396937300
5,8602071600
5,56910025100
5,36194851000
5,23088112500
5,7004212057
5,56251081300
5,55806733800
5,57209368084
5,56241777200
5,56287972900
5,57194775619
5,55508320500
5,17434873600
5,10739366800
5,6701653313
5,35078778700
5,56146761800
5,55039207300
5,16747219200
5,36170739900
5,36196780500
5,35069903100
5,59481889200
5,36237342900
5,6507861131
5,60094143700
5,6506490270
5,35222136400
5,54385698900
5,55574982700
5,55989124200
5,6602407872
5,36614647200
5,59481572000
5,6602359440
5,6602247942
5,57297784800
5,7004346894
5,19639813200
5,24558950400
5,56462950600
5,56013633800
5,6602342834
5,14017644900
5,24782660500
5,56465051300
5,57194277805
5,60157676100
5,60093855500
5,57480588600
5,57200692794
5,56423348400
5,57457700500
5,60093857400
5,8907727600
5,57209402018
5,57219523796
5,50961407000
5,57223927806
5,56648074200
5,55888971400
5,35222136600
5,57195196225
5,14013374400
5,60094004100
5,6701380728
5,57200101052
5,55917907400
5,15822841200
5,57288635200
6,59757126000
6,57552494700
6,17342788500
6,57396220300
6,55625379900
6,57203842723
6,26539915200
7,58150705600
8,60151850000
8,60151740900
8,60151858700
8,23767089100
9,60151796700
9,24475700500
9,60151740900
9,60093520100
9,23767089100
10,60151466600
10,60151850000
10,60151796700
10,60151740900
10,23767089100
11,58114748900
11,35751567500
11,23011440300
11,56015094400
11,25959868500
12,57205615844
12,57225794972
12,58102511900
12,58103023600
12,57069567500
13,57216251900
13,58595285200
13,7201781576
13,7005594420
13,23767117900
14,24067286500
14,55360884400
14,55919842500
14,6701565668
14,6506948010
15,57481693500
15,26639062200
15,6507707368
15,23467762800
16,55360884400
16,57200237929
16,55919842500
17,60022010100
17,60021294000
17,57200143172
17,60021479000
17,60022190600
17,23013051100
17,7202590326
18,57203397489
18,60007787900
18,56983253300
18,57191927115
19,24340786300
19,12041820400
19,60004816600
19,24449673100
20,6506138259
20,59205902100
20,59750840800
20,50861001200
21,60002192400
21,59981748200
21,60003480800
21,57219973868
21,57204425882
21,25822612200
22,55581629700
22,56042198700
22,54581462800
23,57190048958
23,55416644200
23,25626996500
24,59998827600
24,59682172600
24,59682427800
24,59681419200
24,59681921900
24,59682172700
24,59188528300
24,58561125000
24,58830726300
